"Resource Name","Alarm Text","Severity","Raised Time (System)","Acknowledged"
"WAIKABUBAK_BTS ELOPADA #1 CH.2/E1-1.1","E1/DS1 loss of signal on port #1","MAJOR","May 8, 2021 9:42:51 AM",N
"MELAK TO MUARA PAHU","LOST CONTACT","INDETERMINATE","September 18, 2021 12:32:19 PM",N
"DANGAS - TBK UPGRADE 5+0 ( JANUARI 2017) HORIZONTAL/Radio-4.1","Radio loss of frame","CRITICAL","March 29, 2019 12:16:41 PM",Y
"REP. GENYEM TO NIMBOKRANG (System 1)/Radio-4.1","RFU RX level path1 out of range","WARNING","April 28, 2020 5:02:36 AM",N
"REP SANGATA TO MATAMANIS ( SYSTEM 2 )/Radio-5.1-XPIC.2","Remote communication failure","CRITICAL","August 20, 2021 10:41:20 PM",N
"SEI BATIK TO GN.DAENG 6GHz CH 1 HORIZONTAL/Radio-6","RFU Rx level path1 out of range","WARNING","October 27, 2021 1:05:48 PM",N
"KOTA BANGUN - MUARA MUNTAI/Shelf/Slot 1 - Link Kotabangun - Muara Muntai / 6 GHz / Ch. 6 / Tx High/IDU","TDM backplane LOF for slot #4","CRITICAL","November 1, 2020 7:01:59 PM",N
"Kota Bangun to Muara Kaman System 2/Radio-4.1-XPIC.1","Radio loss of frame","CRITICAL","March 20, 2021 12:05:50 PM",N
"SUNGAI APIT - BENGKALIS  F1/Radio-3","RFU Rx level path2 out of range","WARNING","August 22, 2020 6:53:37 PM",N
"Pulau Ratewo to Rep. Nabire System 3/Radio-5.1-XPIC.2","RFU TX Mute","WARNING","June 18, 2021 10:05:58 PM",N
"MANULAI - SAMBUKU FREK. 6GHz 3+0 NEW ( HIGH )/Radio-5.1","RFU RX level path1 out of range","WARNING","July 2, 2021 8:56:47 AM",N
"New Rep. Waropen to Waindu System 3","LOST CONTACT","INDETERMINATE","October 25, 2021 2:23:46 AM",N
"TAMIANG TABA TO SOSOK 4+0 AGUSTUS 2019/ETY-1.2","Loss of Carrier","MAJOR","September 7, 2021 12:12:16 PM",N
"KANINGU_PEMKAB SUMBA TENGAH #1  CH.1/Shelf/Slot 2","LOST CONTACT","INDETERMINATE","December 28, 2019 4:16:20 PM",Y
"OMTEL TO KALABAHI/E1-2.9","E1/DS1 Unexpected signal on TDM-LIC TDM port","WARNING","August 16, 2018 4:26:16 PM",Y
"KKN. Rep - SEPANG","LOST CONTACT","INDETERMINATE","August 11, 2020 5:32:04 PM",N
"SAJAU TO GUNUNG TABUR PHASE 2/Radio-5.1","RFU RX level path1 out of range","WARNING","October 28, 2018 5:57:49 AM",Y
"Arowi to Oransbari System 3 (4+0)/Radio-5.1-XPIC.2","RFU RX level path2 out of range","WARNING","October 27, 2021 2:12:34 PM",N
"Bukit Butar to Bukit Mandin System 3","LOST CONTACT","INDETERMINATE","October 27, 2021 2:31:49 PM",N
"ENTIKONG-TVRI/E1-1.1","E1/DS1 loss of signal on port #1","MAJOR","October 6, 2021 1:58:47 PM",N
"Site-14 2.14 B.BARATAN - SAJAU CH1-3 HIGH XPIC VERTICAL/2RU/Slot 7","Unexpected Card Type in slot","MINOR","January 11, 2021 4:55:28 PM",N
"GILI TRAWANGAN - PEMENANG","LOST CONTACT","INDETERMINATE","April 29, 2020 12:56:16 PM",N
"LAGONG TO TVRI NATUNA SYSTEM-2 FREQ. 8 GHZ","LOST CONTACT","INDETERMINATE","October 16, 2021 11:00:11 AM",N
"EILOGO - SAMBUKU FREK.6G HIGH 4+0 & 1+0 ( 5+0 ) JULI 2019/1RU/Slot 2","Corrupted inventory file","WARNING","January 22, 2021 7:38:52 PM",N
"KARUNGAN - B.BARATAN  CH1-3 LOW XPIC VERTICAL/Radio-7.1-XPIC.3","Remote communication failure","CRITICAL","April 22, 2020 12:30:27 PM",N
"MUARA PAHU - MELAK/Shelf/Slot 1 - Link Muara Pahu - Melak / 8 GHz / Ch. 5 / Tx High/IDU","IDU #2 presence not detected","MINOR","January 15, 2021 2:44:53 AM",N
"SUBI TO SERASAN SYSTEM 2 FREK 8 GHZ/Radio-4.1","RFU RX level path2 out of range","WARNING","October 16, 2021 11:21:35 AM",N
"MOKMER TO STO BIAK 8Ghz SYSTEM 1","LOST CONTACT","INDETERMINATE","September 27, 2021 12:45:07 PM",N
"BENGKALIS - SUNGAI PAKNING","HTTP LOGON FAILURE","WARNING","April 16, 2021 12:50:03 PM",N
"KIMANG BULENG_LEPEMBUSU 4+0/Radio-5.1-XPIC.2","RFU RX level path1 out of range","WARNING","April 18, 2021 11:59:30 AM",N
"OMTEL TO KALABAHI/E1-2.2","Loss-of-frames alarm on TDM service","MAJOR","June 6, 2018 12:29:58 PM",Y
"TELKOM PANGGUNG PINANG - PENDOPO FREK. 6 GHZ VERTICAL/Radio-3.1","Radio loss of frame","CRITICAL","October 26, 2018 2:48:25 PM",Y
"Sei Awan to Pagar Antimun/Radio-3.1","RFU TX Mute","WARNING","October 26, 2021 9:29:06 AM",N
"SEI AWAN _ PAGAR ANTIMUN ( 3 + 0 )","LOST CONTACT","INDETERMINATE","October 27, 2021 2:31:57 PM",N
"TIDUNG PALA TO MALINAU/E1-5.16","E1/DS1 Unexpected signal on TDM-LIC TDM port","WARNING","October 6, 2021 7:43:34 PM",N
"RUJAB - SP2 2+0","HTTP LOGON FAILURE","WARNING","March 9, 2021 1:25:30 AM",N
"Site-4 2.4 MATAMANIS - MIAUBARU FREK.4-5G CH1-3 XPIC VERTICAL/Radio-3.1-XPIC.1","RFU TX level out of range","MINOR","October 23, 2021 6:51:38 PM",N
"Site-2 2.2 MATAMANIS - PERDAU FREK.4-5G CH1-CH3 XP ( VERTICAL )/Radio-7.1-XPIC.3","Radio loss of frame","CRITICAL","October 24, 2021 7:08:29 PM",N
"SUNGAI APIT TO BENGKALIS/Radio-2.1","RFU communication failure","WARNING","February 22, 2019 11:39:49 PM",Y
"IP10_Bundung_to_Gunung_Besi_SL01/Shelf/Slot 1 - Link Bundung - Gn.Besi / Pol. V / Ch. 5 Low","LOST CONTACT","INDETERMINATE","November 4, 2019 2:29:47 PM",Y
"PUARLOLO TO LABUHAN BAJO 4+0 Vertikal (expan april-2019)","HTTP LOGON FAILURE","WARNING","December 28, 2020 5:45:01 PM",N
"EILOGO - SAMBUKU/E1-1.6","E1/DS1 unexpected signal on port #6","WARNING","March 17, 2020 9:42:38 AM",N
"TIDUNG PALA TO MALINAU/E1-5.2","Alarm Indication Signal (AIS) on TDM-LIC TDM port","MAJOR","October 24, 2021 4:24:18 PM",N
"ENTIKONG-TVRI/E1-1.12","E1/DS1 loss of signal on port #12","MAJOR","October 6, 2021 1:58:47 PM",N
"IP10_Mempawah_to_Bundung_SL01/Shelf/Slot 2 - Link Mempawah - Bundung / Pol. V / Ch. 8 ghz/IDU","Remote communication failure","MAJOR","October 22, 2019 1:39:27 PM",Y
"Site-1 2.1 PERDAU - MATAMANIS ( VERTICAL ) FREK. 4-5G XPIC/Radio-4.1-XPIC.1","Radio loss of frame","CRITICAL","October 24, 2021 8:30:25 AM",N
"MALIGANO - RAHA IP-10 FREQ. 8GHZ/ CH 7H/E1-1.11","E1/DS1 unexpected signal on port #11","WARNING","November 20, 2019 9:26:14 AM",Y
"BTS TSEL SEBA - REP. TSEL ALIOGO SEBA 2+0 8 GHz CH 2 L/E1-1.7","E1/DS1 unexpected signal on port #7","WARNING","April 17, 2019 7:25:33 AM",Y
"TIDUNG PALA TO BEBATU SUPA/E1-2.13","Alarm Indication Signal (AIS) on TDM-LIC TDM port","MAJOR","October 6, 2021 6:00:30 PM",N
"REP. TOLE - TOLE TO MALILI#1  8 GHz CHANNEL 6/Radio-2","Radio loss of frame","CRITICAL","October 20, 2021 5:36:22 PM",N
"FibeAir IP-10G - 10.144.122.103/Shelf/Slot 1 - MALIGANO - PUNGGALUKU/IDU","Communications lost with IDU #2","CRITICAL","November 5, 2019 4:00:23 AM",Y
"TSEL KANGEAN TO BUKIT PANULISAN-Sys-1(smp008_p.Kangean)/Radio-3.1-XPIC.1","Remote communication failure","CRITICAL","October 26, 2021 8:31:08 AM",N
"MALIGANO - WAKEAKEA IP-20N 6GHz CH6H/CH8H/1RU/Power Supply 2","Under voltage","MAJOR","October 5, 2017 10:16:22 AM",Y
"Ratewo to New Rep. 1 Wapoga System 2","LVDS RX Error Slot 6","MAJOR","December 19, 2020 7:52:20 AM",N
"BABAUK TO DUNANG BILA/Shelf/Slot 1 - BABAUK TO DUNANG BILA  / 6 GHz / CH 7 HIGH / V/IDU","Communications lost with IDU #2","CRITICAL","December 5, 2017 4:51:31 PM",Y
"KAREBE - WOTU#1 8 GHz CHANNEL 3/Radio-4","Radio loss of frame","CRITICAL","September 21, 2021 8:53:31 AM",N
"TJ.BATU - BATURUBE ( 8GHZ, POL HORIZONTAL SD )/1RU/Slot 4","Unexpected Card Type in slot","MINOR","May 30, 2020 3:21:12 PM",N
"LUWUK to TASAN EXPAND MARET 2019/Radio-4.1","RFU RX level path1 out of range","WARNING","September 9, 2021 11:13:37 AM",N
"REP. TSEL AILOGO SABU - BKT. SAMBUKU 6 GHZ CH 1 H/ETY-1.2","Gigabit Ethernet loss of carrier on port #2","MAJOR","May 5, 2019 11:16:50 AM",Y
"MANTANG - PRAMUKA FREK. 8GH 4+0 LOW/Radio-5.1","Remote communication failure","CRITICAL","August 23, 2019 4:53:58 AM",Y
"TAMAKO TO DMT_LIA 6 Ghz/ETY-1.1","Gigabit Ethernet loss of carrier on port #1","MAJOR","August 18, 2021 10:32:09 AM",N
"TELKOM PONTIANAK (Backup TSEL TTC_PTK to IP_RAN SKW)/Shelf/Slot 1/IDU","Mate IDU communication error","MAJOR","March 22, 2021 2:14:47 PM",N
"MARTEWAR TO BAGARSEWAR System 2 Pol. Horizontal/Radio-3.1-XPIC.1","Radio loss of frame","CRITICAL","October 19, 2021 2:04:25 PM",N
"SUNGAI PUTRI TO SIDUK/2RU/Slot 6","Expected Card is missing in slot","MAJOR","October 5, 2017 9:56:37 AM",Y
"FibeAir IP-10G - 10.144.122.103/Shelf/Slot 3","LOST CONTACT","INDETERMINATE","September 6, 2019 2:09:32 PM",Y
"MUARA MUNTAI - KOTA BANGUN UP GRADE/Radio-4.1","Remote communication failure","CRITICAL","October 26, 2021 3:19:48 AM",N
"WAIKABUBAK_BTS ELOPADA #1 CH.2/E1-1.10","E1/DS1 loss of signal on port #10","MAJOR","May 8, 2021 9:42:51 AM",N
"TELKOM BAU BAU TO TSEL BAU-BAU 13Ghz CH 8 IP-10/Shelf/Slot 4 - BAU-BAU TELKOM TO WAKEAKEA ODU 2 8Ghz CH 4/IDU","Remote communication failure","MAJOR","August 25, 2019 8:44:29 PM",Y
"BAGAISEWAR TO MARTEWAAR System 2","LOST CONTACT","INDETERMINATE","October 27, 2021 2:39:11 PM",N
"MENGKUNING - SENAYANG FREK.6GHZ LOW 4+0/Radio-6.1","Remote communication failure","CRITICAL","January 17, 2019 4:53:13 AM",Y
"BEBATU SUPA TO MAMBURUNGAN/1RU/Slot 2","Loss-of-frames alarm on TDM service","MAJOR","October 5, 2017 9:59:55 AM",Y
"TIDUNG PALA TO BEBATU SUPA/E1-2.11","Alarm Indication Signal (AIS) on TDM-LIC TDM port","MAJOR","October 6, 2021 6:00:30 PM",N
"SEI BATIK TO GN.DAENG 6GHz CH 1 HORIZONTAL/Shelf/Slot 5","LOST CONTACT","INDETERMINATE","January 15, 2019 5:36:04 AM",Y
"MATAWAI KRAHA _ KANINGU 5+0 ( JULI 2021 )/Radio-7.2","Radio loss of frame","CRITICAL","August 18, 2021 10:11:18 AM",N
"SENONI TO MUARA KAMAN/MC-ABC.1","LVDS RX Error Slot 3","MAJOR","August 20, 2021 10:49:20 PM",N
"RAHA - MALIGANO (Desember 2018)","LOST CONTACT","INDETERMINATE","November 21, 2019 11:15:19 AM",Y
"BAGARSEWAR TO NENGKE VILLAGE (System 1)/ETY-1.2","Loss of Carrier","MAJOR","May 6, 2021 2:11:39 PM",N
"PONGKAR - TJ.BATU 2+0 FREK 6GHZ ( 3+0 8GHZ )/Radio-3.1","Remote communication failure","CRITICAL","April 12, 2018 3:08:20 AM",Y
"RAHA - MALIGANO 11 Ghz/VERTICAL/LOW/EXPAND JANUARI 2019","HTTP LOGON FAILURE","WARNING","March 9, 2021 1:48:20 AM",N
"Dunangbila to Babauk / 6 Ghz low / 4+0","LOST CONTACT","INDETERMINATE","December 13, 2019 2:19:58 PM",Y
"Tumbang Samba - Buntut Bali #2/Shelf/Slot 1 - Link Tumbang Samba - Buntut Bali / 6Ghz / Tx Low / Ch 4/IDU","TDM backplane LOF for slot #2","CRITICAL","March 21, 2021 10:38:29 PM",N
"TVRI SOROAKO TO ASOLI#1 8 GHz CHANNEL 5/Shelf/Slot 1/IDU","SW running version mismatch with extension unit in slot 2","MAJOR","October 19, 2021 4:48:37 PM",N
"LABANAN TO GN.TABUR","HTTP LOGON FAILURE","WARNING","March 9, 2021 1:47:35 AM",N
"SUKAJADI - DUMAI","Drawer Internal Power Failure (Board #1)","MAJOR","September 30, 2020 3:50:48 AM",N
"R-CGN-IP10_MSKU_to_STNG_SL01_MR/E1-1.2","E1/DS1 unexpected signal on port #2","WARNING","October 24, 2021 3:01:38 AM",N
"STO LABUAN BAJO - PUARLOLO FREK.8GH VERTICAL/Radio-6.1","Remote communication failure","CRITICAL","June 20, 2021 11:25:58 AM",N
"MAMBURUNGAN TO BEBATU SUPA/E1-2.14","Loss-of-frames alarm on TDM service","MAJOR","November 30, 2020 6:48:23 PM",N
"Sei Awan to Pagar Antimun/Radio-3.1","Radio loss of frame","CRITICAL","October 26, 2021 9:29:06 AM",N
"STO BUKIT TINGGI TO TAMBULUN","HTTP LOGON FAILURE","WARNING","January 17, 2018 11:39:18 PM",Y
"REP. TOLE - TOLE TO MALILI#1  8 GHz CHANNEL 6/Shelf/Slot 2 - REP. TOLE - TOLE TO MALILI #22 8 GHz CHANNEL 5/IDU","Remote communication failure","MAJOR","October 20, 2021 5:36:22 PM",N
"SEIBATANG TO GN DAENG FREK.4,5GHZ LOW 7+0 XPIC SD ( JULI 2021 )/2RU/Slot 8","Unexpected Card Type in slot","MINOR","July 19, 2021 3:02:34 PM",N
"NEGERI BARU TO RANTAU PRAPAT NEW IP 20/Radio-5.1","Radio loss of frame","CRITICAL","October 19, 2021 11:47:14 AM",N
"WAINDU TO NEW REP.WAROPEN SYSTEM 1","LOST CONTACT","INDETERMINATE","March 11, 2021 7:12:34 PM",N
"KARUNGAN - B.BARATAN  CH1-3 LOW XPIC VERTICAL","LVDS RX Error Slot 5","MAJOR","February 10, 2020 12:37:44 PM",N
"TIDUNG PALA TO BEBATU 8GHz CH1 HIGH VERTICAL/Radio-3","Traffic not being taken from radio on slot 4 by multi-radio","WARNING","October 13, 2021 12:13:15 PM",N
"TSEL SIAU - TSEL TALAWIA 8 GHz/HIGH/HORIZONTAL/Radio-3.1","Remote communication failure","CRITICAL","October 19, 2021 12:11:17 AM",N
"TUAPEJAT TO BUKIT TAMBULUN/1RU/Power Supply 1","Under voltage","MAJOR","July 10, 2018 11:30:05 AM",Y
"STO SEI PAKNING TO BENGKALIS 6 GHz VERTI/ CH.2,4,1,7,8 LOW OLD","HTTP LOGON FAILURE","WARNING","May 8, 2020 5:50:37 AM",N
"NIMBOKRANG - REP. KAPTIAU SYSTEM 2/Radio-6.1","Remote communication failure","CRITICAL","July 22, 2021 9:35:11 PM",N
"SAMBUKU - MANULAI FREK. 6GHz 3+0 NEW ( LOW )/Radio-5.1","RFU RX level path1 out of range","WARNING","June 30, 2021 9:55:17 AM",N
"SAMBUKU - MANULAI FREK. 6GHz 3+0 NEW ( LOW )/Radio-4.1","Remote communication failure","CRITICAL","June 30, 2021 9:55:17 AM",N
"BABAUK TO FATUK","HTTP LOGON FAILURE","WARNING","July 6, 2019 2:19:02 AM",Y
"STO BIREUN TO SITE BUKIT RIMBA RAYA 8 GHz / Ch 6 High/E1-2.6","E1/DS1 loss of signal on port #6","MAJOR","November 9, 2020 11:22:35 AM",N
"TELKOM BAU BAU TO TSEL BAU-BAU 13Ghz CH 8 IP-10/Radio-1","Traffic not being taken from radio on slot 2 by multi-radio","WARNING","August 25, 2019 6:44:16 PM",Y
"SAJAU TO GUNUNG TABUR PHASE 2/MC-ABC.1","Multi Carrier ABC LOF","CRITICAL","October 28, 2018 5:57:49 AM",Y
"BESANA TO FATUK","LOST CONTACT","INDETERMINATE","April 13, 2019 8:20:40 PM",Y
"EILOGO - SAMBUKU/Radio-1","Radio loss of frame","CRITICAL","March 17, 2020 7:43:30 PM",N
"KINTOM - LUWUK CITY #1 / 8 GHz / CH.6 VERTICAL / TX HIGH/E1-1.1","E1/DS1 unexpected signal on port #1","WARNING","October 21, 2021 6:47:35 AM",N
"FibeAir IP-10G - 10.144.122.103/Shelf/Slot 1 - MALIGANO - PUNGGALUKU/IDU","E1/DS1 unexpected signal on port #3","WARNING","November 5, 2019 4:00:23 AM",Y
"MALIGANO - RAHA 11 Ghz/VERTICAL/HIGH/EXPAND JANUARI 2019","HTTP LOGON FAILURE","WARNING","May 8, 2020 8:02:27 AM",N
"SAJAU TO GN TABUR/Radio-6.1","Radio loss of frame","CRITICAL","October 28, 2018 6:00:39 AM",Y
"TIDUNG PALE -  MALINAU 6GHz/1RU/Power Supply 2","Under voltage","MAJOR","June 13, 2020 5:52:37 PM",N
"R-CGN-IP10_NLAT_to_KTAU_SL01_MR/ETY-2.5","Ethernet loss of carrier on port #5","MAJOR","October 25, 2021 9:58:36 AM",N
"MUARA MUNTAI - KOTA BANGUN UP GRADE/Radio-4.1","Radio loss of frame","CRITICAL","October 26, 2021 3:19:48 AM",N
"STO Biak to New Mokmer System 5 # JULI 2021/Radio-7.1-XPIC.2","RFU RX level path1 out of range","WARNING","September 23, 2021 2:52:01 PM",N
"STO BIREUN TO SITE BUKIT RIMBA RAYA 8 GHz / Ch 6 High/Shelf/Slot 1 - Link Sto Bireun To Site Bukit Rimba Raya 8 GHz / Ch 6 High/IDU","Remote communication failure","MAJOR","September 4, 2020 2:03:54 AM",N
"KOLAM-TEMPAYUNG","LOST CONTACT","INDETERMINATE","May 13, 2021 7:57:00 AM",N
"FATUFIA - BAHODOPI ( 8GHZ , POL. VERTICAL )/Radio-4.1","Radio loss of frame","CRITICAL","August 21, 2021 5:27:56 AM",N
"DUNANGBILA TO OMTEL/1RU/Slot 6","Corrupted inventory file","WARNING","November 24, 2018 1:57:55 PM",Y
"EILOGO - SEBA FREK.11G HIGH 4+0 & 1+0 (5+0) JULI 2019/Radio-5.1","RFU communication failure","WARNING","November 24, 2020 5:00:37 AM",N
"SUNGAI APIT - BENGKALIS  F1/Radio-1","RFU Rx level path2 out of range","WARNING","August 10, 2020 11:38:09 AM",N
"STO BIREUN TO SITE BUKIT RIMBA RAYA 8 GHz / Ch 6 High/E1-1.10","E1/DS1 loss of signal on port #10","MAJOR","September 4, 2020 2:03:54 AM",N
"Sei Awan to STO Ketapang","LOST CONTACT","INDETERMINATE","February 15, 2019 11:20:17 AM",Y
"SAJAU TO GUNUNG TABUR PHASE 2/Radio-5.1","Remote communication failure","CRITICAL","October 28, 2018 5:57:49 AM",Y
"SUNGAI PENUH TO BUKIT NAMURA 8GHZ CH 7 High #1/Shelf/Slot 1 - SUNGAI PENUH TO BUKIT NAMURA 8GHZ CH 7 High #1/IDU","Failure in one or more TDM trails","WARNING","June 15, 2019 1:17:24 PM",Y
"GANGGA TO LAMANGGO 8GHz CH.8H (VERT)/Shelf/Slot 1 - GANGGA TO LAMANGGO 8GHz CH.8H (VERT)/IDU","IDU extreme temperature conditions","WARNING","October 27, 2021 2:08:31 PM",N
"SIDUK TO SUKADANA","HTTP LOGON FAILURE","WARNING","January 17, 2018 11:46:41 PM",Y
"STO TAKENGON TO SITE BUKIT SAMA/E1-2.15","E1/DS1 loss of signal on port #15","MAJOR","March 12, 2019 12:21:49 AM",Y
"BEBATU SUPA TO TIDUNG PALA/E1-2.1","Alarm Indication Signal (AIS) on TDM-LIC TDM port","MAJOR","September 24, 2021 4:35:34 PM",N
"KUALA KUAYAN TO PARENGGEAN IP10 6GHz/Radio-1","Tx level out of range","MINOR","September 28, 2021 1:40:31 PM",N
"SUNGAI APIT TO BENGKALIS/Radio-2.1","Cable open","MAJOR","February 22, 2019 11:39:49 PM",Y
"New Mokmer to STO Biak System 5 # JULI 2021","LVDS RX Error Slot 10","MAJOR","September 6, 2021 4:26:19 PM",N
"MALIGANO - RAHA IP-10 FREQ. 8GHZ/ CH 7H","HTTP LOGON FAILURE","WARNING","September 4, 2020 9:06:40 PM",N
"TOBELO TO MOROTAI/Shelf/Slot 4 - TOBELO TO MOROTAI TELKOM/IDU","Remote communication failure","MAJOR","July 25, 2020 5:27:01 PM",N
"OMTEL TO KALABAHI/E1-2.5","Loss-of-frames alarm on TDM service","MAJOR","December 4, 2017 2:31:04 AM",Y
"SAMBUKU - EILOGO FREK.6G LOW 4+0 & 1+0 (5+0) JULI 2019/Radio-2.1","Remote communication failure","CRITICAL","December 22, 2020 5:30:33 AM",N
"BEBATU SUPA TO TIDUNG PALA/E1-2.5","Alarm Indication Signal (AIS) on TDM-LIC TDM port","MAJOR","September 24, 2021 4:35:34 PM",N
"TAMAKO - REP. TAMAKO 7 GHz/HIGH/HORIZONTAL","LOST CONTACT","INDETERMINATE","October 21, 2021 4:07:24 AM",N
"STO SAMBAS - TSEL KARTIASA 8 GHz / CH.6 / VERTICAL / TX HIGH/ETY-2.4","Ethernet loss of carrier on port #4","MAJOR","February 18, 2019 2:35:07 PM",Y
"REP. GENYEM TO RELOK TVRI (System 1)/1RU/Power Supply 1","Under voltage","MAJOR","June 12, 2020 2:36:47 PM",N
"Site-7  2.7 LABANAN-SEIMAYANG CH4-6 LOW HORIZONTAL","LOST CONTACT","INDETERMINATE","October 24, 2021 11:58:53 PM",N
"PINTU BATU - KP. SIHU (5+0) UPGRADE 2019/Radio-6.1-XPIC.2","Radio loss of frame","CRITICAL","October 26, 2021 5:12:56 AM",N
"Pulau Ratewo to Rep. Nabire System 3/Radio-5.1-XPIC.2","RFU TX level out of range","MINOR","June 10, 2021 6:07:47 PM",N
"BEBATU SUPA TO MAMBURUNGAN/1RU/Slot 2","Loss-of-frames alarm on TDM service","MAJOR","October 5, 2017 9:59:55 AM",Y
"P.BUKIT - P.MANTANG 4+0 6ghz/ETY-1.1","Loss of Carrier","MAJOR","February 23, 2019 9:34:35 AM",Y
"PUARLOLO TO WAINGAPU FREK. 4,5G, 1.2 ( HIGH ) JULI 2018-System-1","LVDS RX Error Slot 4","MAJOR","October 17, 2021 3:03:28 AM",N
"OMTEL TO DUNANGBILA/E1-2.12","E1/DS1 Unexpected signal on TDM-LIC TDM port","WARNING","December 4, 2017 2:23:58 AM",Y
"STO TAKENGON TO SITE BUKIT SAMA/E1-2.8","E1/DS1 loss of signal on port #8","MAJOR","March 12, 2019 12:21:49 AM",Y
"BATURUBE - BAHONSUAI ( 8GHZ SD CH 6L/ CH 8L ) POL. VERTICAL/Radio-4.1","Radio loss of frame","CRITICAL","October 26, 2021 8:50:26 AM",N
"SP2 - RUJAB 3+0 + UPGRADE SEPTEMBER 2019","Multi Carrier ABC LOF","CRITICAL","July 5, 2020 11:33:05 AM",N
"REP.NABIRE TO PULAU RATEWO SYSTEM 1/Radio-2.1","Cable short","MAJOR","December 28, 2020 4:54:18 AM",N
"RUJAB BUPATI BINTUNI - SP2 (2+0) UPGRADE 2019/Radio-6.1","Radio loss of frame","CRITICAL","August 6, 2019 10:58:25 AM",Y
"MALILI TO KAREBE#1 8 GHz CHANNEL 7/Shelf/Slot 1 - MALILI TO KAREBE SLOT 1/IDU","TDM backplane LOF for slot #2","CRITICAL","September 10, 2021 6:31:50 PM",N
"REP. KAPTIAU TO NIMBOKRANG (System 1)","LOST CONTACT","INDETERMINATE","April 28, 2020 5:36:52 AM",N
"BAHONSUAI - WOSU ( 8GHZ, POL. VERTICAL )/Radio-4.1","RFU communication failure","WARNING","September 14, 2021 5:10:47 AM",N
"NENGKE VILLAGE - BAGARSEWAR SYSTEM 2/1RU/Slot 3","Corrupted inventory file","WARNING","April 8, 2021 9:07:15 AM",N
"BEBATU - MAMBURUNGAN #1 8GHz CH 2 VERTICAL LOW/Radio-1","Traffic not being taken from radio on slot 2 by multi-radio","WARNING","October 19, 2021 6:51:13 PM",N
"Likupang TO Tatelu #2 FREQ 8 Ghz/Radio-2","Radio loss of frame","CRITICAL","October 21, 2021 6:55:43 AM",N
"LABANAN - GN.TABUR ( SYS 4 )","HTTP LOGON FAILURE","WARNING","March 9, 2021 1:30:28 AM",N
"SEI BATANG TO GUNUNG DAENG 8GHz/1RU/Slot 5","Loss-of-frames alarm on TDM service","MAJOR","December 24, 2020 7:18:23 AM",N
"SEI BATANG TO GUNUNG DAENG 8GHz/E1-5.15","Loss Of Signal (LOS) on TDM-LIC TDM port","MAJOR","December 10, 2019 4:51:30 PM",Y
"SEI BABI TO SAMPIT/ U6 GHz XPIC / CH. 5H / 2+0 SD/MC-ABC.1","LVDS RX Error Slot 3","MAJOR","September 14, 2021 2:16:38 AM",N
"PONTIANAK/Radio-1","Traffic not being taken from radio on slot 2 by multi-radio","WARNING","October 22, 2021 2:01:41 PM",N
"TSEL TALAWIA - DMT LIA 7 GHz/LOW/HORIZONTAL/Radio-4.1","RFU TX level out of range","MINOR","October 18, 2021 1:52:45 PM",N
"NUSA PENIDA TO GOA LAWAH 11GHz UPGRADE DESEMBER 2019","LOST CONTACT","INDETERMINATE","October 26, 2021 2:27:59 PM",N
"SUNGAI PUTRI TO SIDUK/2RU/Slot 3","Expected Card is missing in slot","MAJOR","October 5, 2017 9:56:37 AM",Y
"LABANAN - GN.TABUR ( SYS 4 )","LOST CONTACT","INDETERMINATE","October 27, 2018 9:33:07 AM",Y
"BTS TSEL SEBA - REP. TSEL ALIOGO SEBA 2+0 8 GHz CH 2 L","LOST CONTACT","INDETERMINATE","May 6, 2019 11:15:09 AM",Y
"TIDUNG PALA TO BEBATU 8GHz CH1 HIGH VERTICAL/ETY-2.3","Ethernet loss of carrier on port #3","MAJOR","October 26, 2021 4:10:11 AM",N
"RUJAB - SP2 11 GHZ 5+0 UPGRADE 2019/Radio-4.1-XPIC.1","Remote communication failure","CRITICAL","October 27, 2021 2:21:08 PM",N
"SEI BATANG-NUNUKAN","LOST CONTACT","INDETERMINATE","December 24, 2020 7:30:50 AM",N
"TSEL KAISABU - TSEL KOMBA-KOMBA 8 GHz/LOW/HORIZONTAL/Radio-3.1","Radio loss of frame","CRITICAL","April 3, 2021 4:08:27 AM",N
"SANGATA2 - PERDAU FREK.6G HIGH CH 1-CH3 XPIC (VERTICAL)/Radio-7.1-XPIC.3","Radio loss of frame","CRITICAL","October 13, 2021 2:24:05 AM",N
"GUNUNG DAENG TO SEI BATIK  6GHz CH.1/Radio-6","RFU Rx level path1 out of range","WARNING","October 20, 2021 1:03:05 PM",N
"MUARA KAMAN TO SENONI/Radio-3.1","RFU RX level path1 out of range","WARNING","May 21, 2021 5:56:20 AM",N
"MATAWAI KRAHA _ KANINGU 5+0 ( JULI 2021 )/Radio-6.2-XPIC.4","RFU TX Mute","WARNING","August 18, 2021 10:11:18 AM",N
"PEMENANG - GILI TRAWANGAN","HTTP LOGON FAILURE","WARNING","May 8, 2020 9:58:10 AM",N
"MAMBURUNGAN TO BEBATU SUPA/E1-2.10","Loss-of-frames alarm on TDM service","MAJOR","November 30, 2020 6:48:23 PM",N
"POMPALIA - KENDARI IP-10/Radio-3","Traffic not being taken from radio on slot 4 by multi-radio","WARNING","October 12, 2019 3:28:37 PM",Y
